config,n,p,Delta,alpha,gamma,xi1,mean_cc_excess,mean_mixed_excess,simulated_RE,RE_boot_se,RE_lo,RE_hi,n_valid,n_converged,n_total,convergence_rate
eff_n1000_p1_D1_a0,1000,1,1.0,0.0,0.3,3.0,0.00041051591329157986,0.0003234664022663738,1.2691145368276022,0.09742357086554981,1.0870295158493197,1.4782197857130048,500,500,500,1.0
eff_n1000_p5_D1_a0,1000,5,1.0,0.0,0.3,3.0,0.0021140857555530467,0.0016131088812859585,1.3105660628857942,0.04013786332451644,1.232176709424559,1.3869876732788589,500,500,500,1.0
eff_n1000_p1_D2_a0,1000,1,2.0,0.0,0.3,3.0,0.0002456605499703761,0.00010312230982865173,2.3822250527414117,0.17804173320781871,2.0675444529283293,2.763913883443311,500,500,500,1.0
eff_n1000_p5_D2_a0,1000,5,2.0,0.0,0.3,3.0,0.00122804506033898,0.0005180447453855488,2.3705385901077363,0.08566836078558555,2.213477503123573,2.540873011311149,500,500,500,1.0
eff_n1000_p1_D3_a0,1000,1,3.0,0.0,0.3,3.0,0.0001418458215979492,3.691232673557257e-05,3.8427764961576303,0.33995617993639166,3.2198964072177105,4.526963742456382,500,500,500,1.0
eff_n1000_p5_D3_a0,1000,5,3.0,0.0,0.3,3.0,0.0006828950108684192,0.00018996101528376584,3.594921883568074,0.144278203843653,3.328599212413893,3.8967113684676176,500,500,500,1.0
eff_n1000_p1_D1_a0.1,1000,1,1.0,0.1,0.3,3.0,0.0004380619145596486,0.0003588064831522544,1.2208862858639131,0.08703901345966446,1.0636154662929669,1.4068385792559084,500,500,500,1.0
eff_n1000_p5_D1_a0.1,1000,5,1.0,0.1,0.3,3.0,0.002325748104490058,0.0018004432099191232,1.2917642120989374,0.043067967365817375,1.2091824875931396,1.3811620088701415,500,500,500,1.0
eff_n1000_p1_D2_a0.1,1000,1,2.0,0.1,0.3,3.0,0.00023924305616058417,0.00012426325126470034,1.9252921014512867,0.15989751909744004,1.6502175456363324,2.2747524986619587,500,500,500,1.0
eff_n1000_p5_D2_a0.1,1000,5,2.0,0.1,0.3,3.0,0.0012213911636754769,0.0005460714765333077,2.2366873498491144,0.08090269534964943,2.0835413050043257,2.3976828214141985,500,500,500,1.0
eff_n1000_p1_D3_a0.1,1000,1,3.0,0.1,0.3,3.0,0.00014266155170688765,4.123929687639136e-05,3.4593594583946077,0.3204485536701062,2.8859737505839487,4.1486975523366585,500,500,500,1.0
eff_n1000_p5_D3_a0.1,1000,5,3.0,0.1,0.3,3.0,0.000719096954421379,0.00021668894088806487,3.3185678580285427,0.1278352897174766,3.076914284208705,3.5746872677086694,500,500,500,1.0
eff_n1000_p1_D1_a0.2,1000,1,1.0,0.2,0.3,3.0,0.0004404646181497545,0.00038047934289571874,1.157657114306141,0.0885754179205266,0.9951496252458111,1.3445199925134528,500,500,500,1.0
eff_n1000_p5_D1_a0.2,1000,5,1.0,0.2,0.3,3.0,0.002168451827786631,0.00203359947022795,1.0663121521877488,0.03627711373210599,0.9983517965232471,1.1421346538521322,500,500,500,1.0
eff_n1000_p1_D2_a0.2,1000,1,2.0,0.2,0.3,3.0,0.00024053428937653647,0.00011221790737537828,2.1434572698983696,0.1759100419146233,1.8283409068835559,2.5160925093096016,500,500,500,1.0
eff_n1000_p5_D2_a0.2,1000,5,2.0,0.2,0.3,3.0,0.0011720978356234628,0.0006067675044002118,1.9317083184638877,0.07340970714025652,1.7898563543889607,2.075986041372016,500,500,500,1.0
eff_n1000_p1_D3_a0.2,1000,1,3.0,0.2,0.3,3.0,0.0001403302783693698,4.666461086332671e-05,3.0072098700313834,0.2623007358097135,2.542903386521956,3.5664816821823035,500,500,500,1.0
eff_n1000_p5_D3_a0.2,1000,5,3.0,0.2,0.3,3.0,0.0007047963711765164,0.00023631604837016552,2.9824312654065848,0.11729046294015857,2.7642423044732203,3.2199079611991617,500,500,500,1.0
eff_n1000_p1_D1_a0.3,1000,1,1.0,0.3,0.3,3.0,0.0004368793052042914,0.0004666503199064137,0.9362027337555606,0.07708376280335202,0.8017343647446005,1.1037228773613972,500,500,500,1.0
eff_n1000_p5_D1_a0.3,1000,5,1.0,0.3,0.3,3.0,0.0021553196471758755,0.002349526636514079,0.9173420780509463,0.03183822730879385,0.8571958206966048,0.9800807126696307,500,500,500,1.0
eff_n1000_p1_D2_a0.3,1000,1,2.0,0.3,0.3,3.0,0.00021851086439523453,0.00013734101090696242,1.5910095822962758,0.13486744313241522,1.3506138614452528,1.8734337076704566,500,500,500,1.0
eff_n1000_p5_D2_a0.3,1000,5,2.0,0.3,0.3,3.0,0.0012067397730364643,0.0007272537931522,1.659310387101573,0.06493924383715625,1.536235596129859,1.7910739589105011,500,500,500,1.0
eff_n1000_p1_D3_a0.3,1000,1,3.0,0.3,0.3,3.0,0.0001345853355780154,5.215533055906907e-05,2.5804713369727255,0.2340145208658374,2.141753879143242,3.078751774955572,500,500,500,1.0
eff_n1000_p5_D3_a0.3,1000,5,3.0,0.3,0.3,3.0,0.0007019739930609884,0.00026098196810988406,2.689741357017542,0.10601566583278402,2.4843144837699467,2.8932903577383873,500,500,500,1.0
eff_n1000_p1_D1_a0.4,1000,1,1.0,0.4,0.3,3.0,0.0004275255877804924,0.0005615921877857644,0.761274100813497,0.061744349488664495,0.6474852955987657,0.8912181989810039,500,500,500,1.0
eff_n1000_p5_D1_a0.4,1000,5,1.0,0.4,0.3,3.0,0.0022468431527251204,0.002805136598872209,0.8009745955432089,0.029642988518504294,0.7466859783557763,0.8621903005708695,500,500,500,1.0
eff_n1000_p1_D2_a0.4,1000,1,2.0,0.4,0.3,3.0,0.00025568524675412903,0.00017778973212594386,1.4381328083277893,0.1123313389238996,1.2368402746338982,1.6839118695562993,500,500,500,1.0
eff_n1000_p5_D2_a0.4,1000,5,2.0,0.4,0.3,3.0,0.001226446215713345,0.0008090728887191756,1.5158661633748516,0.059752206842169815,1.3977761088561076,1.6343243631187387,500,500,500,1.0
eff_n1000_p1_D3_a0.4,1000,1,3.0,0.4,0.3,3.0,0.00013689071087277107,6.250469055423007e-05,2.190087010414082,0.2062733259900978,1.8155157046735408,2.640281589493578,500,500,500,1.0
eff_n1000_p5_D3_a0.4,1000,5,3.0,0.4,0.3,3.0,0.0007347785325870999,0.0003160183085461927,2.325113807384665,0.08560743141961244,2.1639840566968918,2.5030111422601147,500,500,500,1.0
eff_n500_p1_D2_a0,500,1,2.0,0.0,0.3,3.0,0.00046810096003435566,0.0001896088807099486,2.4687712847713406,0.20614284137619102,2.09112542673495,2.8939838292101197,500,500,500,1.0
eff_n500_p5_D2_a0,500,5,2.0,0.0,0.3,3.0,0.002443285376259325,0.0010669746511810989,2.289918859416861,0.08992705811350088,2.1288718102375097,2.482091418001031,500,500,500,1.0
eff_n500_p1_D2_a0.1,500,1,2.0,0.1,0.3,3.0,0.0004941388912786965,0.0002568830222389505,1.923594977090594,0.16715403577636082,1.6205670689041256,2.2672133376405914,500,500,500,1.0
eff_n500_p5_D2_a0.1,500,5,2.0,0.1,0.3,3.0,0.0024754073536475485,0.0010979837398745404,2.2545027433014604,0.08618199533018538,2.0918802539385135,2.4330996119519894,500,500,500,1.0
eff_n500_p1_D2_a0.2,500,1,2.0,0.2,0.3,3.0,0.0004782918678339806,0.00021914992945619088,2.182486980583735,0.17689021386903345,1.8669877651186386,2.5485720001754983,500,500,500,1.0
eff_n500_p5_D2_a0.2,500,5,2.0,0.2,0.3,3.0,0.0024601624016890255,0.001316296915447998,1.8690026336890078,0.07406900335675244,1.725640742159612,2.019059429270284,500,500,500,1.0
eff_n500_p1_D2_a0.3,500,1,2.0,0.3,0.3,3.0,0.0004901415988020577,0.0003045864649499824,1.6092034781734184,0.139119755746812,1.3528636790472572,1.902935232105564,500,500,500,1.0
eff_n500_p5_D2_a0.3,500,5,2.0,0.3,0.3,3.0,0.0024305049602873475,0.0015263799747239413,1.5923328401415413,0.06063577656535211,1.4768553284990449,1.7133932353533412,500,500,500,1.0
eff_n500_p1_D2_a0.4,500,1,2.0,0.4,0.3,3.0,0.0004485422460265248,0.0003346858681303139,1.3401887821922605,0.11536079838149642,1.1423799542302562,1.5891839376624834,500,500,500,1.0
eff_n500_p5_D2_a0.4,500,5,2.0,0.4,0.3,3.0,0.0025104172891684236,0.0017120641548727664,1.4663102910153432,0.058256368478914036,1.3546159281792844,1.5755613693614312,500,500,500,1.0
