config,n,p,Delta,alpha,gamma,xi1,mean_cc_excess,mean_mixed_excess,simulated_RE,RE_boot_se,RE_lo,RE_hi,n_valid,Gamma,gamma_mar,n_converged,n_total,convergence_rate
fixed_G0.3_p1_a0,1000,1,2.0,0.0,0.3,3.0,0.0002798992928307887,0.00011249203048359447,2.4881699763754237,0.21398730946597322,2.110776647144541,2.9369050866168616,500,0.3,0.3,500,500,1.0
fixed_G0.5_p1_a0,1000,1,2.0,0.0,0.5,3.0,0.00024324961088260854,8.106611810047176e-05,3.000632281184721,0.2698098661160736,2.5197996908788483,3.5997233820058248,500,0.5,0.5,500,500,1.0
fixed_G0.3_p5_a0,1000,5,2.0,0.0,0.3,3.0,0.001187515632129989,0.0005091394661975351,2.3323975275357234,0.08362044798403578,2.175309291841898,2.504354436749784,500,0.3,0.3,500,500,1.0
fixed_G0.5_p5_a0,1000,5,2.0,0.0,0.5,3.0,0.0012454149218516617,0.00039603231648881036,3.1447305434400077,0.13244809381936776,2.897630755900203,3.4066548544894886,500,0.5,0.5,500,500,1.0
fixed_G0.3_p1_a0.1,1000,1,2.0,0.1,0.2222222222222222,3.0,0.0002303835524513943,0.00012591427931995698,1.8296856694543246,0.14691820748715448,1.5621598559885537,2.145251353062804,500,0.3,0.2222222222222222,500,500,1.0
fixed_G0.5_p1_a0.1,1000,1,2.0,0.1,0.4444444444444445,3.0,0.00023499175237782016,0.00010128309854445767,2.320147741872962,0.21525446192520034,1.9267395056132073,2.7737629139222846,500,0.5,0.4444444444444445,500,500,1.0
fixed_G0.3_p5_a0.1,1000,5,2.0,0.1,0.2222222222222222,3.0,0.0012323200521926609,0.0006286643290737977,1.9602194608499905,0.06727821415318427,1.8371614603584567,2.0963234192133133,500,0.3,0.2222222222222222,500,500,1.0
fixed_G0.5_p5_a0.1,1000,5,2.0,0.1,0.4444444444444445,3.0,0.0012755489689631897,0.000497287098490911,2.5650152051682538,0.10426638925753567,2.375225890788588,2.7866428411325606,500,0.5,0.4444444444444445,500,500,1.0
fixed_G0.3_p1_a0.2,1000,1,2.0,0.2,0.12499999999999997,3.0,0.0002487087026089646,0.00017024114852155908,1.4609200229724044,0.1138632955648414,1.2567965486973647,1.6953215432578335,500,0.3,0.12499999999999997,500,500,1.0
fixed_G0.5_p1_a0.2,1000,1,2.0,0.2,0.37499999999999994,3.0,0.000263301207423892,0.00010809035749665819,2.4359361327122304,0.2071417590378011,2.0614668587292373,2.8669839538413617,500,0.5,0.37499999999999994,500,500,1.0
fixed_G0.3_p5_a0.2,1000,5,2.0,0.2,0.12499999999999997,3.0,0.0012011512718862539,0.0009304651585545023,1.2909148299032156,0.043653979347669604,1.2097879074854325,1.380036817346359,500,0.3,0.12499999999999997,500,500,1.0
fixed_G0.5_p5_a0.2,1000,5,2.0,0.2,0.37499999999999994,3.0,0.0012002625305283586,0.00057614148789389,2.0832773819430535,0.08355535660875912,1.9277362082468081,2.2559745227997308,500,0.5,0.37499999999999994,500,500,1.0
