config,parameter,truth,bias,rmse,emp_sd,n_valid,n_converged,n_total,status_note
latent_n500_D1_a0,beta0,0.0,0.0006303164163899227,0.08837295499195762,0.08845921059507598,500,500,500,name corrected from beta0.eta_pi
latent_n500_D1_a0,beta1,1.0,-0.012648317371848395,0.12451882998678039,0.12399883269594772,500,500,500,
latent_n500_D1_a0,beta2,0.0,0.004900855793077014,0.08967321738208724,0.08962886921379531,500,500,500,
latent_n500_D1_a0,beta3,0.0,-0.005906714048984011,0.08670185467246366,0.08658704849295874,500,500,500,
latent_n500_D1_a0,beta4,0.0,-0.0010511482338461575,0.08893819539651125,0.08902104909594574,500,500,500,
latent_n500_D1_a0,beta5,0.0,-0.003067844172546634,0.0886090690856921,0.08864463434841081,500,500,500,
latent_n1000_D1_a0,beta0,0.0,-0.0016016095054397854,0.06220417940226178,0.06224583415651633,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D1_a0,beta1,1.0,-0.00248596140800126,0.089461538231927,0.08951655291168693,500,500,500,
latent_n1000_D1_a0,beta2,0.0,0.000319315094085068,0.06290602146046713,0.0629682107494362,500,500,500,
latent_n1000_D1_a0,beta3,0.0,-0.0031920149069598965,0.062032835298232454,0.06201269906771278,500,500,500,
latent_n1000_D1_a0,beta4,0.0,-0.001355918668022106,0.06253794410726583,0.06258586036449722,500,500,500,
latent_n1000_D1_a0,beta5,0.0,-0.0003134014827766234,0.06010982221221033,0.06016920451724956,500,500,500,
latent_n500_D2_a0,beta0,0.0,0.002442462240039525,0.08045112347285087,0.08049457372424537,500,500,500,name corrected from beta0.eta_pi
latent_n500_D2_a0,beta1,2.0,-0.0020083093545067436,0.17639148696485454,0.17655669883359024,500,500,500,
latent_n500_D2_a0,beta2,0.0,-0.008776909172897482,0.07987748320868025,0.07947333017775704,500,500,500,
latent_n500_D2_a0,beta3,0.0,0.004885274348819111,0.08278537612184413,0.08272387244512072,500,500,500,
latent_n500_D2_a0,beta4,0.0,-0.00013264887981112694,0.08203175457395084,0.08211380222463922,500,500,500,
latent_n500_D2_a0,beta5,0.0,-0.0012914733581322472,0.0849782362180571,0.0850535180292706,500,500,500,
latent_n1000_D2_a0,beta0,0.0,0.0020134939896531254,0.060151427014055805,0.06017792601394296,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D2_a0,beta1,2.0,0.011255574459965199,0.12105054816537775,0.12064683407308428,500,500,500,
latent_n1000_D2_a0,beta2,0.0,-0.0002024319411442088,0.060373537008283795,0.06043366153969165,500,500,500,
latent_n1000_D2_a0,beta3,0.0,0.0015173814515535232,0.0622536051716285,0.06229743856772677,500,500,500,
latent_n1000_D2_a0,beta4,0.0,0.0013985191101315423,0.059334236397157625,0.059377159305804075,500,500,500,
latent_n1000_D2_a0,beta5,0.0,-0.00023341845965657893,0.0571639070471669,0.05722067980297033,500,500,500,
latent_n500_D1_a0.1,beta0,0.0,-0.006025546386324813,0.10186873925307756,0.10179242483168724,499,499,500,name corrected from beta0.eta_pi
latent_n500_D1_a0.1,beta1,1.0,0.01276905954325823,0.13968680685581086,0.1392415500298539,499,499,500,
latent_n500_D1_a0.1,beta2,0.0,0.00035565172927151217,0.10289706476844768,0.10299970801080557,499,499,500,
latent_n500_D1_a0.1,beta3,0.0,0.008860425261729319,0.10862300250765482,0.10836966631485097,499,499,500,
latent_n500_D1_a0.1,beta4,0.0,-0.00494419439036366,0.10713584416991795,0.1071290965754302,499,499,500,
latent_n500_D1_a0.1,beta5,0.0,0.007984914721825543,0.09865396578921296,0.09842896655174484,499,499,500,
latent_n1000_D1_a0.1,beta0,0.0,-0.005566659252247818,0.07584766421359068,0.07571886928473301,500,500,500,name corrected from beta0.eta_pi
latent_n1000_D1_a0.1,beta1,1.0,0.004817567693659701,0.09177833696575367,0.09174359897902241,500,500,500,
latent_n1000_D1_a0.1,beta2,0.0,0.0021342911740201477,0.06995340953261708,0.069990869046772,500,500,500,
latent_n1000_D1_a0.1,beta3,0.0,-0.004218408517532485,0.06749476457230942,0.06743027478934828,500,500,500,
latent_n1000_D1_a0.1,beta4,0.0,0.00029493220083361236,0.07015629911855446,0.07022594026698226,500,500,500,
latent_n1000_D1_a0.1,beta5,0.0,-0.0017144979254526977,0.07050143945638694,0.0705511757455847,500,500,500,
latent_n500_D2_a0.1,beta0,0.0,0.004588638901789094,0.09937171430131321,0.09936512896342783,500,500,500,name corrected from beta0.eta_pi
latent_n500_D2_a0.1,beta1,2.0,0.01632707395477846,0.18445880616005766,0.1839188138452437,500,500,500,
latent_n500_D2_a0.1,beta2,0.0,-0.006522825841002886,0.09645851207108057,0.09633409474134279,500,500,500,
