config,n,p,Delta,alpha,alpha_hat_mean,alpha_hat_bias,alpha_hat_rmse,xi0_bias,xi0_rmse,xi1_bias,xi1_rmse,alpha_boundary_frequency,Dr_mean,recorded_error,oracle_error,latent_error,mar_error,mcar_error,cc_error,recorded_excess,oracle_excess,latent_excess,mar_excess,mcar_excess,cc_excess,latent_beta_rmse,loglik_start_spread,alpha_start_spread,n_valid,n_converged,n_total,convergence_rate,xi_Dr_status
latent_n500_D1_a0,500,5,1.0,0.0,0.019253731883771066,0.019253731883771066,0.04316568917329053,NA,NA,NA,NA,0.718,NA,0.3118775992910211,0.3117990178847339,0.311996017836094,0.31187761075263465,0.3151944800287875,0.31293793318175006,0.0033400605650341585,0.0032614791587469365,0.00345847911010703,0.0033400720266477057,0.006656941302800547,0.004400394455763102,0.09155308686101563,0.0009842497426925548,0.00014876552741238658,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n1000_D1_a0,1000,5,1.0,0.0,0.013374029745512049,0.013374029745512049,0.029575270776017255,NA,NA,NA,NA,0.664,NA,0.310204207434399,0.3101852247859899,0.31022382279556393,0.3102041959993772,0.31173185521068647,0.3107020249406235,0.0016666687084120344,0.0016476860600029186,0.001686284069576931,0.0016666572733901983,0.003194316484699531,0.002164486214636485,0.06437918132814417,0.012929667038801199,0.00033773954270421646,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n500_D2_a0,500,5,2.0,0.0,0.001475170612036251,0.001475170612036251,0.0039928048646622185,NA,NA,NA,NA,0.802,NA,0.15966377699422787,0.15965981007144717,0.15967234439976974,0.15966378249073226,0.16315885530439656,0.16095023946621695,0.0010085230627708008,0.0010045561399900907,0.0010170904683126567,0.001008528559275202,0.004503601372939472,0.0022949855347598885,0.097928078987563,1.55957306833443e-06,1.756150015313181e-06,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n1000_D2_a0,1000,5,2.0,0.0,0.0008677649191694696,0.0008677649191694696,0.0023362579732915056,NA,NA,NA,NA,0.782,NA,0.1591834673767097,0.15918322241394284,0.1591877754802479,0.15918347740909936,0.16077874383734997,0.15986601139215567,0.000528213445252617,0.0005279684824857562,0.0005325215487908328,0.0005282234776423053,0.0021234899058929085,0.0012107574606986173,0.06929009149089854,2.750659761841234e-05,3.1647626621548593e-06,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n500_D1_a0.1,500,5,1.0,0.1,0.08470476701619414,-0.015295232983805862,0.08555502421079017,NA,NA,NA,NA,0.3867735470941884,NA,0.3122120851379116,0.3127160447601375,0.3130071093957609,0.3129633139166048,0.31598645825523225,0.3129670202291042,0.0036745464119246154,0.00417850603415047,0.004469570669773823,0.004425775190617829,0.007448919529245233,0.004429481503117202,0.1049264228472813,0.023397748318118916,0.0011135410550157558,499,499,500,0.998,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n1000_D1_a0.1,1000,5,1.0,0.1,0.09288986201514714,-0.007110137984852873,0.06716332432999891,NA,NA,NA,NA,0.192,NA,0.31036572603377804,0.3106361121698471,0.3106975474736375,0.3107455615843826,0.3122662945001101,0.31082873256729177,0.001828187307791068,0.0020985734438600866,0.002160008747650493,0.0022080228583956025,0.003728755774123147,0.002291193841304735,0.07108500589819647,0.00021595134420931573,0.00011224295716918243,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n500_D2_a0.1,500,5,2.0,0.1,0.0959267581885002,-0.004073241811499803,0.027058696037569954,NA,NA,NA,NA,0.0,NA,0.15972651644647742,0.15999694372005502,0.16002717062481214,0.16047063449776167,0.1633690031323926,0.16095579444513236,0.0010712625150203702,0.0013416897885979563,0.0013719166933550664,0.001815380566304595,0.004713749200935551,0.0023005405136753082,0.10909227361408057,9.589319643055205e-07,1.4918242935180417e-05,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n1000_D2_a0.1,1000,5,2.0,0.1,0.09827095860844541,-0.0017290413915545919,0.020424064726779288,NA,NA,NA,NA,0.0,NA,0.1592054243137532,0.15933674845473972,0.1593497723476585,0.15957242140111982,0.16101923260380158,0.15984233167877077,0.0005501703822961494,0.0006814945232826247,0.0006945184162014317,0.0009171674696627224,0.002363978672344503,0.0011870777473136993,0.07611856343232698,1.936794626089977e-06,1.4100753786393778e-05,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n500_D1_a0.2,500,5,1.0,0.2,0.1599739943016887,-0.04002600569831131,0.13298489748524944,NA,NA,NA,NA,0.2903225806451613,NA,0.3125180246141592,0.31365489739379787,0.31423048161948025,0.3140485037716402,0.31676215013400333,0.3129083226250695,0.003980485888172223,0.005117358667810895,0.005692942893493255,0.005510965045653147,0.008224611408016358,0.004370783899082507,0.11550431931701766,0.12208261313428685,0.0067579610982833535,496,496,500,0.992,unavailable: raw replication objects store xi0/xi1 and Dr as NA
latent_n1000_D1_a0.2,1000,5,1.0,0.2,0.16559772986121396,-0.034402270138786044,0.11080873110285623,NA,NA,NA,NA,0.178,NA,0.31048518221695687,0.3110374581149357,0.31118111218276406,0.3112018332764343,0.3126007359281137,0.31072687684511624,0.0019476434909698236,0.0024999193889487033,0.0026435734567770296,0.002664294550447284,0.004063197202126714,0.0021893381191292337,0.07777749585804239,0.024125334987344104,0.0012432809734350108,500,500,500,1.0,unavailable: raw replication objects store xi0/xi1 and Dr as NA
