n,Delta,alpha,identification,alpha_bias,alpha_RMSE,boundary_freq,convergence_rate,simulated_RE,leading_ARE,RE_minus_ARE,info_min_eigenvalue,info_condition_number
500,1.0,0.0,weak,0.019253731883771066,0.04316568917329053,0.718,1.0,1.2723495836373355,1.3679074358336478,-0.0955578521963123,0.008163751278823975,411.42713753249507
1000,1.0,0.0,weak,0.013374029745512049,0.029575270776017255,0.664,1.0,1.2835833853186607,1.3679074358336478,-0.08432405051498715,0.008163751278823975,411.42713753249507
500,2.0,0.0,moderate,0.001475170612036251,0.0039928048646622185,0.802,1.0,2.256422222270205,2.4275126195853183,-0.17109039731511322,0.016239422821157284,412.3039372008239
1000,2.0,0.0,moderate,0.0008677649191694696,0.0023362579732915056,0.782,1.0,2.2736309233829455,2.4275126195853183,-0.1538816962023728,0.016239422821157284,412.3039372008239
500,1.0,0.1,weak,-0.015295232983805862,0.08555502421079017,0.3867735470941884,0.998,0.9910306448608744,1.0639203702854987,-0.07288972542462424,0.00325128187524696,1225.1454651721383
1000,1.0,0.1,weak,-0.007110137984852873,0.06716332432999891,0.192,1.0,1.0607335936935145,1.0639203702854987,-0.003186776591984186,0.00325128187524696,1225.1454651721383
500,2.0,0.1,moderate,-0.004073241811499803,0.027058696037569954,0.0,1.0,1.6768806187854326,1.7470271616287152,-0.07014654284328259,0.009748208657194854,690.5077726670605
1000,2.0,0.1,moderate,-0.0017290413915545919,0.020424064726779288,0.0,1.0,1.709209892239071,1.7470271616287152,-0.03781726938964414,0.009748208657194854,690.5077726670605
500,1.0,0.2,weak,-0.04002600569831131,0.13298489748524944,0.2903225806451613,0.992,0.7677547414146892,0.8661214203936616,-0.09836667897897233,0.002260216603274694,1461.3514415524962
1000,1.0,0.2,weak,-0.034402270138786044,0.11080873110285623,0.178,1.0,0.8281737409326289,0.8661214203936616,-0.037947679461032724,0.002260216603274694,1461.3514415524962
500,2.0,0.2,moderate,-0.004820228092623134,0.0381943889196909,0.002,1.0,1.3454153713722943,1.4046299132088367,-0.0592145418365424,0.007542353258924572,648.9125929022855
1000,2.0,0.2,moderate,-0.0008680099401624678,0.025716674984153944,0.0,1.0,1.3177534243942854,1.4046299132088367,-0.08687648881455123,0.007542353258924572,648.9125929022855
500,1.0,0.3,weak,-0.08907407227630071,0.18312419852253017,0.2790224032586558,0.982,0.5931675757027192,0.7177454903296345,-0.12457791462691536,0.001636276902065239,1777.0975594666418
1000,1.0,0.3,weak,-0.0503445380535831,0.14297410296974372,0.1384928716904277,0.982,0.6505581919466255,0.7177454903296345,-0.06718729838300908,0.001636276902065239,1777.0975594666418
500,2.0,0.3,moderate,-0.005028033246391469,0.04598049913191116,0.0,1.0,1.0203889243887578,1.1238073716699424,-0.10341844728118454,0.005987842331863641,664.804562421362
1000,2.0,0.3,moderate,-0.0010951432538021469,0.02906394496468441,0.0,1.0,1.0435459136387581,1.1238073716699424,-0.08026145803118423,0.005987842331863641,664.804562421362
