config,n,p,Delta,gamma,xi1,alpha,mixed_test_error,pc_test_error,cc_test_error,mixed_conditional_error,pc_conditional_error,cc_conditional_error,convergence_frequency,valid_information_frequency,n_valid,n_total
recovery_n1000_D2_g0.3_x3_a0.1,1000,3,2.0,0.3,3.0,0.1,0.1475286,0.1487114,0.1479284,0.14756817681902615,0.1486050716288997,0.14787689860116765,1.0,0.0,500,500
recovery_n500_D2_g0.3_x3_a0.1,500,3,2.0,0.3,3.0,0.1,0.14793080000000003,0.15025280000000002,0.1487058,0.1478895991237377,0.15020360931643442,0.14866509219684695,1.0,0.0,500,500
recovery_n1000_D1_g0.3_x3_a0.1,1000,3,1.0,0.3,3.0,0.1,0.3014448,0.3023034,0.3016966,0.30106530552838123,0.3020373964665166,0.3012944529203596,1.0,0.0,500,500
recovery_n1000_D3_g0.3_x3_a0.1,1000,3,3.0,0.3,3.0,0.1,0.05823999999999999,0.059004999999999995,0.058588999999999995,0.058038797621570805,0.058747820573414176,0.05830189627358329,1.0,0.0,500,500
recovery_n1000_D2_g0.15_x3_a0.1,1000,3,2.0,0.15,3.0,0.1,0.1476548,0.14823499999999998,0.1480088,0.14765203589083056,0.14821456871636685,0.14795348462478733,1.0,0.0,500,500
recovery_n1000_D2_g0.45_x3_a0.1,1000,3,2.0,0.45,3.0,0.1,0.1474712,0.1495068,0.1479558,0.14749941013340215,0.1494042913399275,0.14794266649162308,1.0,0.0,500,500
recovery_n1000_D2_g0.3_x1_a0.1,1000,3,2.0,0.3,1.0,0.1,0.14797559999999998,0.14837079999999997,0.147888,0.14794818856129133,0.14835407209520163,0.14789484676048364,1.0,0.0,500,500
recovery_n1000_D2_g0.3_x5_a0.1,1000,3,2.0,0.3,5.0,0.1,0.1474218,0.1487244,0.14795419999999998,0.1474438694118063,0.148798757936478,0.14794963244193765,1.0,0.0,500,500
recovery_n1000_D2_g0.3_x3_a0,1000,3,2.0,0.3,3.0,0.0,0.147535,0.148556,0.147918,0.14752681056972888,0.14849174340170854,0.1479159831404973,1.0,0.0,500,500
recovery_n1000_D2_g0.3_x3_a0.3,1000,3,2.0,0.3,3.0,0.3,0.1476592,0.14899859999999998,0.1479758,0.14766966690303673,0.1489907646709498,0.1479669446280334,1.0,0.0,500,500
