config,quantity,parameter,truth,bias,rmse,emp_sd,avg_se,coverage95,n_valid,n_converged,n_total,status_note
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,pi1,0.5,-0.00041949446586455117,0.01355455531488402,0.013561630795631979,NA,NA,500,500,500,name corrected from pi1.eta_pi
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu1_1,1.0,0.0005804755507924788,0.0411569909630098,0.04119411199419382,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu1_2,0.0,0.00247545849513855,0.04331017706360947,0.04328267925124764,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu1_3,0.0,0.003770253539662009,0.040280131760505954,0.040143457714613424,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu2_1,-1.0,-0.00038192928397270574,0.04309217770545636,0.04313364036669338,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu2_2,0.0,0.001847967440875049,0.04266385739720249,0.04266650449190102,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,mu2_3,0.0,-0.0010207265450572743,0.043025259607834494,0.043056227878903765,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,Sigma_11,1.0,-0.004443824262932512,0.04503042149275595,0.044855493714462284,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,Sigma_21,0.3,-0.001113724417733272,0.029122262228641397,0.02913010300423211,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,Sigma_31,0.09,0.0007889691963764195,0.026708908638198994,0.026723990562676412,NA,NA,500,500,500,
recovery_n1000_D2_g0.3_x3_a0.1,model_parameter,Sigma_22,1.0,-0.002471808146355937,0.0458443738220117,0.045823535092315536,NA,NA,500,500,500,
